id,name,segment_ids,description,part_of
1,98 Bypass Alternate,4269; 4276; 4277,,
2,98 Bypass Sidepath,4237; 4238; 4270; 4271; 4301,,
3,ATT-Nature Park Equestrian Connection,6674,,
4,Abbot's Creek Trail,1156,,
5,Abbott's Creek Trail,3831,,
6,Abbotts Creek Trail,6001,,
7,Adams Branch Greenway,3020,,
8,Airport Blvd North Side,4384,,
9,Airport Blvd South Side,4383; 4387; 4388,,
10,Alleghany Segment,3668; 3948,,
11,Alleghany Trail,630,,
12,Allen Lewis Dr Street-Side Trail,3481,,
13,Alston Ridge Elementary Trail,6890,,
14,Ambergate Station,3722; 3737,,
15,Amberly Greenway,6612,,
16,Amberly Lake GW Connector,6611,,
17,Amberly Lake Greenway,3374; 3886; 6170,,
18,American Tobacco Trail,2748; 2750; 3091; 3684; 3715,,
19,Annie Jones Greenway,3854,,
20,Annie Jones Sidewalk Connector,3444,,
21,Antler Point Connector Trail,3563; 4073,,
22,Apex Barbecue Multi-Use Path,6768,,
23,Apex Barbecue Rd (extension),6755,,
24,Apex Community Park Greenway,4494; 4496,,
25,Apex Peakway,3723; 3724; 3725; 3726; 3727; 3728; 3729; 3730; 3731; 3732; 3733; 3734; 3735; 3736,,
26,Arbor Creek Boardwalk,6875,,
27,Art Museum,448,,
28,Austin Creek Greenway,4279; 4280,,
29,Aviation Parkway North Side,4424; 4425; 4426; 4428; 4429; 4430,,
30,Aviation Parkway South Side,4419; 4421; 4422; 4423,,
31,Aviation Parkway_Crabtree,4420,,
32,Baileywick Trail,1170,,
33,Ballenridge Greenway,432,,
34,Ballentine Trail,169,,
35,Barmettler Segment,3946,,
36,Bartley Park Greenway,3535,,
37,Bass Lake Greenway,1139; 6854,,
38,Bass Lake Trail,166,,
39,Batchelor Branch Greenway,3335; 3848; 5921; 6811,,
40,Beaver Creek Commons Drive,3740; 3741; 3802,,
41,Beaver Creek Commons Drive (extension),3800,,
42,Beaver Creek Greenway,93; 3011; 3312; 3314; 3315; 3316; 3317; 3318; 3319; 4007; 4487; 6681; 6682; 6686; 6687; 6692; 6693; 6694; 6697; 6747; 6749,,
43,Beaver Creek South Trail,6698; 6748,,
44,Beaver Dam Lake Trails,820,,
45,Beaver Dam Trail,582; 584; 3156,,
46,Beckett Crossing Greenway,2723; 2724; 2726; 6699,,
47,Beckwith Connector,6792,,
48,Beech Tree Greenway,1126; 1128,,
49,Belgium Dr Street-Side Trail,6140,,
50,Bent Creek Trail,4510,,
51,Big Branch Greenway,6753; 6758; 6759; 6760; 6769; 6770; 6784,,
52,Birch Ridge Connector,3944,,
53,Bishop's Gate Connector Trail,3555,,
